symbol,direction,entry_price,exit_price,weight_factor,open_time,close_time,exit_reason,pnl_pct,fee_pct,net_pnl_pct,weighted_pnl,stop_loss_price,take_profit_price,timeout_time,confidence
ETHUSDT,1,3714.770000,3558.705068,1.0000,1641023999999,1641427199999,stop_loss,-4.2012,0.1000,-4.3012,-4.3012,3558.705068,4026.899863,1641628799999,0.080000
BTCUSDT,-1,47186.830000,43215.867934,1.0000,1641023999999,1641427199999,take_profit,8.4154,0.1000,8.3154,8.3154,49172.311033,43215.867934,1641628799999,0.300000
ETHUSDT,1,3150.000000,2963.593763,1.0000,1641772799999,1641830399999,stop_loss,-5.9177,0.1000,-6.0177,-6.0177,2963.593763,3522.812475,1642377599999,0.280000
BTCUSDT,-1,41851.220000,43731.968113,1.0000,1641772799999,1642003199999,stop_loss,-4.4939,0.1000,-4.5939,-4.5939,43731.968113,38089.723773,1642377599999,0.300000
ETHUSDT,1,3132.050000,3115.470000,1.0000,1641916799999,1642521600000,timeout,-0.5294,0.1000,-0.6294,-0.6294,2951.344531,3493.460938,1642521599999,0.460000
BTCUSDT,-1,43170.000000,43275.750000,1.0000,1642089599999,1642694400000,timeout,-0.2450,0.1000,-0.3450,-0.3450,44978.817415,39552.365170,1642694399999,0.140000
ETHUSDT,1,3082.810000,2941.119204,1.0000,1642636799999,1642751999999,stop_loss,-4.5962,0.1000,-4.6962,-4.6962,2941.119204,3366.191591,1643241599999,0.100000
ETHUSDT,1,2382.500000,2735.340000,1.0000,1643097599999,1643702400000,timeout,14.8097,0.1000,14.7097,14.7097,2130.719614,2886.060771,1643702399999,0.880000
BTCUSDT,1,36035.000000,38420.650000,1.0000,1643097599999,1643702400000,timeout,6.6204,0.1000,6.5204,6.5204,33463.703195,41177.593610,1643702399999,0.120000
ETHUSDT,1,2748.500000,2591.949711,0.3300,1643788799999,1643903999999,stop_loss,-5.6958,0.1000,-5.7958,-1.9126,2591.949711,3061.600578,1644393599999,0.060000
BTCUSDT,-1,38268.320000,39843.854997,1.0000,1643788799999,1643990399999,stop_loss,-4.1171,0.1000,-4.2171,-4.2171,39843.854997,35117.250005,1644393599999,0.400000
ETHUSDT,-1,2993.650000,3167.916091,0.3300,1644019199999,1644278399999,stop_loss,-5.8212,0.1000,-5.9212,-1.9540,3167.916091,2645.117817,1644623999999,0.020000
BTCUSDT,1,42712.800000,42290.410000,0.3300,1644220799999,1644825600000,timeout,-0.9889,0.1000,-1.0889,-0.3593,41024.345162,46089.709677,1644825599999,0.020000
ETHUSDT,-1,3115.230000,3273.543781,0.3300,1644364799999,1644508799999,stop_loss,-5.0819,0.1000,-5.1819,-1.7100,3273.543781,2798.602439,1644969599999,0.180000
ETHUSDT,-1,3101.280000,2798.630000,0.3300,1644595199999,1645200000000,timeout,9.7589,0.1000,9.6589,3.1874,3273.784052,2756.271896,1645199999999,0.200000
BTCUSDT,1,43665.700000,42003.630260,0.3300,1644911999999,1645113599999,stop_loss,-3.8064,0.1000,-3.9064,-1.2891,42003.630260,46989.839480,1645516799999,0.040000
BTCUSDT,1,39805.100000,38044.733982,0.3300,1645199999999,1645372799999,stop_loss,-4.4225,0.1000,-4.5225,-1.4924,38044.733982,43325.832037,1645804799999,0.040000
